,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Xapuri,76,BR,1578787607,64,-10.65,-68.5,301.18,1.25
375,Yar-Sale,77,RU,1578787343,96,66.83,70.83,250.83,3.02
376,Porosozero,100,RU,1578787607,90,62.72,32.73,272.92,7.62
377,Otavi,99,NA,1578787607,91,-19.65,17.33,292.26,0.35
378,Kasempa,98,ZM,1578787608,94,-13.46,25.83,289.92,2.62
379,Mansa,84,IN,1578787608,39,29.98,75.38,283.79,2.29
380,Shama,11,CN,1578787608,35,33.61,104.29,267.08,1.3
381,Vostok,96,RU,1578787608,96,46.49,135.88,252.37,1.75
382,Chiang Klang,5,TH,1578787609,100,19.29,100.86,287.15,1.0
383,Mookane,100,BW,1578787609,67,-23.69,26.66,295.82,3.39
384,Kamen'-na-Obi,97,RU,1578787609,92,53.79,81.34,260.51,3.16
385,Stokmarknes,100,NO,1578787609,82,68.56,14.91,278.15,8.94
386,Viedma,0,AR,1578787349,52,-40.81,-63.0,290.56,4.14
387,Bardiyah,68,LY,1578787610,60,31.76,25.09,286.95,3.91
388,Canutama,100,BR,1578787610,95,-6.53,-64.38,297.54,1.41
389,Shache,100,CN,1578787610,70,38.42,77.24,266.27,0.85
390,Stolin,24,BY,1578787610,93,51.89,26.85,272.54,2.09
391,Glendive,90,US,1578787610,85,47.11,-104.71,269.15,5.7
392,Gimli,100,CA,1578787611,76,50.63,-96.99,257.04,4.15
393,Bintulu,75,MY,1578787611,94,3.17,113.03,297.15,1.5
394,Mishelevka,85,RU,1578787611,100,52.86,103.17,250.15,1.39
395,Roebourne,100,AU,1578787611,54,-20.78,117.13,304.13,3.69
396,Greymouth,100,NZ,1578787611,95,-42.47,171.2,288.14,6.57
397,Shenjiamen,33,CN,1578787612,76,29.96,122.3,280.8,10.41
398,Souillac,40,MU,1578787612,88,-20.52,57.52,299.15,2.1
399,Tigre,15,AR,1578787612,54,-34.43,-58.58,302.59,2.6
400,Ciudad Lazaro Cardenas,10,MX,1578787612,80,17.96,-102.2,300.14,1.78
401,Izhma,90,RU,1578787613,96,65.01,53.91,263.3,2.8
402,Pacocha,80,PE,1578787613,85,-17.58,-71.33,294.23,3.05
403,Haskovo,90,BG,1578787613,70,41.94,25.57,279.15,1.5
404,Takoradze,33,GH,1578787613,89,4.88,-1.76,298.19,1.12
405,Umm Kaddadah,56,SD,1578787362,24,13.6,26.69,285.52,5.58
406,Gamba,74,GA,1578787614,86,-2.65,10.0,297.58,1.12
407,College,0,US,1578787614,66,64.86,-147.8,252.15,1.13
408,Concarneau,90,FR,1578787614,81,47.88,-3.92,284.82,5.7
409,Yeppoon,40,AU,1578787355,62,-23.13,150.73,302.15,1.5
410,Tura,0,IN,1578787349,78,25.52,90.22,286.44,1.99
411,Provincia di Mantova,0,IT,1578787615,74,45.17,10.78,279.26,3.1
412,Arki,97,IN,1578787615,38,31.15,76.97,283.12,2.47
413,Anadyr,75,RU,1578787615,92,64.75,177.48,270.15,15.0
414,Los Llanos de Aridane,90,ES,1578787615,72,28.66,-17.92,290.15,4.6
415,Beyneu,100,KZ,1578787616,85,45.32,55.2,270.75,1.23
416,Kyshtovka,99,RU,1578787616,95,56.55,76.63,257.25,3.07
417,East Millcreek,90,US,1578787616,96,40.7,-111.81,275.37,1.41
418,Huilong,13,CN,1578787616,74,31.81,121.66,278.15,4.83
419,Nishihara,90,JP,1578787616,88,26.18,127.76,293.15,4.1
420,Kyzyl-Suu,96,KG,1578787617,59,42.34,78.0,270.5,2.42
421,Visnes,100,NO,1578787617,87,59.36,5.22,281.48,7.2
422,Doka,0,SD,1578787617,32,13.52,35.77,286.12,4.79
423,Inhambane,99,MZ,1578787617,85,-23.86,35.38,299.3,4.47
424,Susanville,40,US,1578787618,41,40.42,-120.65,279.15,7.7
425,Ugento,75,IT,1578787618,87,39.93,18.16,282.04,1.5
426,Pundaguitan,21,PH,1578787618,80,6.37,126.17,299.71,5.03
427,Kuytun,19,RU,1578787618,99,54.34,101.5,248.92,1.49
428,Forsytheganj,40,BY,1578787619,88,52.63,29.73,271.5,2.25
429,Warrnambool,50,AU,1578787619,77,-38.38,142.48,290.37,5.37
430,Tukan,100,RU,1578787619,96,53.84,57.46,260.23,1.97
431,Banamba,6,ML,1578787619,18,13.55,-7.45,293.9,4.59
432,Tabas,100,IR,1578787619,93,33.6,56.92,276.15,7.2
433,Lampa,0,CL,1578787620,26,-33.28,-70.9,302.15,8.2
434,La Rioja,0,ES,1578787620,25,42.25,-2.5,274.15,2.1
435,Ust'-Kulom,73,RU,1578787620,96,61.69,53.69,261.75,2.33
436,Coahuayana Viejo,75,MX,1578787347,45,18.73,-103.68,302.15,1.81
437,Kodiak,1,US,1578787357,63,57.79,-152.41,272.15,3.1
438,The Valley,40,AI,1578787621,73,18.22,-63.06,299.15,7.7
439,Abu Dhabi,40,AE,1578787621,48,24.47,54.37,291.15,6.2
440,Marrakesh,0,MA,1578787573,75,31.63,-8.01,280.15,1.0
441,Sikandra,0,IN,1578787621,61,26.37,79.65,282.0,1.24
442,Bowen,75,AU,1578787622,69,-20.02,148.23,303.71,2.6
443,Vuktyl,89,RU,1578787622,96,63.86,57.31,262.57,2.13
444,Coos Bay,90,US,1578787622,87,43.37,-124.22,282.59,3.6
445,Sola,100,VU,1578787623,84,-13.88,167.55,300.23,9.2
446,Rio Pardo de Minas,10,BR,1578787623,75,-15.61,-42.54,292.07,1.16
447,Trairi,82,BR,1578787623,90,-3.28,-39.27,297.06,1.7
448,Ottawa,90,CA,1578787443,93,45.41,-75.7,275.37,5.7
449,Olga,28,RU,1578787623,58,43.74,135.29,266.71,9.34
450,Khovd,20,MN,1578787624,85,48.01,91.64,249.54,0.49
451,Aksarka,100,RU,1578787624,90,66.56,67.8,253.47,1.43
452,Celestun,1,MX,1578787624,73,20.87,-90.4,300.57,5.57
453,Ayan,100,RU,1578787359,74,56.45,138.17,254.82,3.31
454,Nizhniy Odes,78,RU,1578787624,97,63.64,54.86,262.5,2.24
455,Peniche,11,PT,1578787625,66,39.36,-9.38,283.15,2.1
456,Buala,100,SB,1578787625,82,-8.14,159.59,301.25,6.71
457,Barabai,100,ID,1578787625,97,-2.58,115.38,295.96,1.18
458,Plouzane,90,FR,1578787625,87,48.38,-4.62,284.15,9.8
459,City of San Pedro,20,PH,1578787626,83,14.35,121.02,298.15,0.5
460,Urengoy,100,RU,1578787626,94,65.97,78.37,260.7,6.24
461,Leningradskiy,100,RU,1578787626,91,69.38,178.42,257.3,7.68
462,Acari,65,PE,1578787626,83,-15.43,-74.62,291.71,1.61
463,Lakselv,100,NO,1578787626,92,70.05,24.97,271.15,6.7
464,Baykit,95,RU,1578787627,99,61.67,96.37,251.34,1.89
465,Invermere,99,CA,1578787627,87,50.52,-116.04,264.52,1.25
466,Pitimbu,0,BR,1578787627,78,-7.47,-34.81,299.15,3.1
467,Provo,90,US,1578787473,96,40.23,-111.66,275.37,4.1
468,Hervey Bay,40,AU,1578787628,74,-25.3,152.85,303.15,2.6
469,Sitka,20,US,1578787628,52,57.05,-135.33,266.15,3.6
470,Lanxi,83,CN,1578787628,90,29.22,119.48,278.6,1.37
471,Pandan,39,PH,1578787353,74,14.05,124.17,299.58,5.43
472,Savannah Bight,1,HN,1578787629,80,16.45,-85.85,300.49,10.51
473,Praia da Vitoria,40,PT,1578787629,87,38.73,-27.07,284.15,3.02
474,Sobolevo,51,RU,1578787629,84,54.43,31.9,269.96,2.18
475,Black River,20,JM,1578787629,61,18.03,-77.85,301.15,7.2
476,Ostrovnoy,100,RU,1578787629,90,68.05,39.51,269.5,8.83
477,Kimbe,100,PG,1578787630,76,-5.55,150.14,300.87,0.6
478,Boyolangu,100,ID,1578787630,89,-8.12,111.89,296.88,1.35
479,Ucluelet,90,CA,1578787527,70,48.93,-125.55,279.26,3.1
480,Port Macquarie,75,AU,1578787630,46,-31.43,152.92,298.71,5.1
481,Kalispell,90,US,1578787588,80,48.2,-114.31,275.93,2.6
482,Llanes,100,ES,1578787631,10,43.42,-4.75,281.48,3.19
483,Nemuro,75,JP,1578787631,92,43.32,145.57,265.15,1.0
484,Magole,100,TZ,1578787631,95,-6.37,37.37,296.37,1.4
485,Wukari,0,NG,1578787631,30,7.85,9.78,298.02,0.59
486,Novyy Urengoy,99,RU,1578787632,94,66.08,76.63,259.92,5.1
487,Preeceville,100,CA,1578787632,95,51.95,-102.67,257.02,6.99
488,Minab,0,IR,1578787504,54,27.15,57.08,288.15,3.1
489,Quzhou,95,CN,1578787632,91,28.96,118.87,279.0,1.98
490,Tocopilla,0,CL,1578787632,53,-22.09,-70.2,289.05,0.95
491,Evensk,100,RU,1578787633,96,61.95,159.23,252.61,4.06
492,Adrar,100,MR,1578787633,20,20.5,-10.07,285.71,4.13
493,Rio Gallegos,90,AR,1578787442,82,-51.62,-69.22,286.15,2.6
494,Sinop,85,TR,1578787633,71,41.77,34.87,282.3,5.34
495,Fort Nelson,40,CA,1578787633,75,58.81,-122.7,245.15,2.24
496,Santander,37,ES,1578787634,75,43.46,-3.8,283.15,4.1
497,Inuvik,5,CA,1578787634,75,68.35,-133.72,244.15,1.66
498,Birjand,90,IR,1578787634,97,32.87,59.22,273.15,6.2
499,Werda,80,BW,1578787634,61,-25.27,23.28,297.02,4.65
500,Zhuhai,20,CN,1578787634,76,22.28,113.57,289.26,9.3
501,Stromness,17,GB,1578787545,86,58.97,-3.3,277.15,7.7
502,Morgan City,1,US,1578787635,77,29.7,-91.21,292.04,7.2
503,Tilichiki,100,RU,1578787635,86,60.47,166.1,258.71,4.53
504,Turaif,29,SA,1578787636,93,31.67,38.66,276.15,2.6
505,Nazca,12,PE,1578787636,79,-14.83,-74.95,292.81,4.33
506,Antofagasta,75,CL,1578787636,68,-23.65,-70.4,293.15,4.6
507,San Ramon,75,US,1578787636,58,37.78,-121.98,287.59,5.7
508,Salinopolis,71,BR,1578787636,77,-0.61,-47.36,300.56,6.89
509,Batemans Bay,97,AU,1578787342,57,-35.72,150.18,292.04,0.89
510,Mocuba,43,MZ,1578787637,98,-16.84,36.99,296.65,0.6
511,Sinnamary,56,GF,1578787637,78,5.38,-52.95,299.7,8.34
512,Lagoa,100,PT,1578787637,58,39.05,-27.98,285.88,4.81
513,Spirit River,90,CA,1578787638,76,55.78,-118.84,249.15,6.2
514,Aljezur,0,PT,1578787638,79,37.32,-8.8,285.37,2.24
515,Saint Anthony,1,US,1578787638,61,45.02,-93.22,264.15,3.29
516,Yerbogachen,100,RU,1578787639,94,61.28,108.01,252.14,5.24
517,Aksu,100,CN,1578787639,62,41.12,80.26,268.58,1.2
518,Port Blair,1,IN,1578787639,82,11.67,92.75,298.79,7.71
519,Djibouti,1,DJ,1578787639,61,11.5,42.5,300.15,4.7
520,Manjacaze,18,MZ,1578787639,92,-24.71,33.88,295.98,1.58
521,Grindavik,75,IS,1578787357,92,63.84,-22.43,269.15,2.1
522,Edd,23,ER,1578787640,70,13.93,41.69,294.4,4.09
523,Aldama,97,MX,1578787640,58,22.92,-98.07,296.48,0.89
524,Ahipara,1,NZ,1578787640,57,-35.17,173.17,292.04,2.99
525,Bosaso,98,SO,1578787571,80,11.28,49.18,298.71,3.89
526,Beisfjord,95,NO,1578787641,93,68.38,17.6,276.15,7.2
527,Bereda,84,ES,1578787641,93,43.27,-7.54,279.26,2.1
528,Conneaut,90,US,1578787641,93,41.95,-80.55,289.82,6.7
529,Husavik,0,IS,1578787642,67,66.04,-17.34,268.15,10.8
530,Hammerfest,75,NO,1578787642,79,70.66,23.68,270.15,10.3
531,Namatanai,91,PG,1578787351,75,-3.67,152.43,302.08,4.73
532,Kalinovskaya,99,RU,1578787642,93,43.58,45.52,275.15,1.58
533,Amahai,98,ID,1578787642,75,-3.33,128.92,300.96,3.66
534,Gurmatkal,0,IN,1578787643,78,16.87,77.4,290.89,2.42
535,Sabancuy,4,MX,1578787643,61,18.97,-91.18,300.76,0.9
536,Jasper,90,US,1578787643,85,37.2,-94.35,267.59,3.6
537,Koslan,100,RU,1578787643,93,63.46,48.9,267.27,3.61
538,Shimanovsk,87,RU,1578787644,90,52.0,127.7,256.37,3.29
539,Quiroga,75,MX,1578787644,25,19.67,-101.53,297.15,3.6
540,Boysun,100,UZ,1578787644,69,38.21,67.2,276.19,0.88
541,Santa Maria,20,BR,1578787644,78,-29.68,-53.81,300.15,1.5
542,Fethiye,40,TR,1578787644,87,36.62,29.12,283.15,3.1
543,Nouadhibou,0,MR,1578787645,77,20.93,-17.03,289.15,7.7
544,Chu,100,KZ,1578787645,82,43.6,73.76,271.43,2.63
545,Itoman,75,JP,1578787645,82,26.12,127.67,293.15,10.3
546,Lokosovo,99,RU,1578787645,93,61.13,74.82,260.64,3.48
547,Pastavy,91,BY,1578787645,86,55.12,26.83,273.33,5.55
548,Presidencia Roque Saenz Pena,79,AR,1578787646,54,-26.79,-60.44,304.2,1.78
549,Seoul,75,KR,1578787489,86,37.57,126.98,272.15,0.5
550,Laas,0,IT,1578787646,84,46.62,10.7,272.04,1.0
551,Changping,94,CN,1578787646,57,40.22,116.22,269.26,1.0
552,Kokoda,100,PG,1578787647,87,-8.88,147.74,293.21,1.77
553,Kassala,0,SD,1578787647,71,15.45,36.4,285.25,3.36
554,Novokizhinginsk,33,RU,1578787647,98,51.61,109.59,248.86,2.12
555,Marsaxlokk,20,MT,1578787647,93,35.84,14.54,284.82,2.1
556,Saint-Pierre,75,RE,1578787342,88,-21.34,55.48,298.15,4.6
557,Carauari,78,BR,1578787648,96,-4.88,-66.9,297.12,0.98
558,Vanimo,100,PG,1578787648,77,-2.67,141.3,300.71,2.62
559,Kuybyshevskiy Zaton,90,RU,1578787648,92,55.16,49.17,268.15,3.0
560,Laguna,1,US,1578787341,50,38.42,-121.42,289.15,0.48
561,Ilulissat,75,GL,1578787532,37,69.22,-51.1,255.15,5.7
562,Great Yarmouth,100,GB,1578787351,81,52.61,1.73,283.15,9.3
563,Thinadhoo,47,MV,1578787649,76,0.53,72.93,301.0,6.91
564,Tautira,90,PF,1578787360,62,-17.73,-149.15,303.15,4.6
565,Dapaong,0,TG,1578787650,30,10.86,0.2,298.71,2.09
566,Lubumbashi,100,CD,1578787506,95,-11.66,27.48,289.98,1.66
567,Bubaque,52,GW,1578787650,63,11.28,-15.83,298.5,4.11
568,Quryq,91,KZ,1578787650,80,43.2,51.65,275.89,3.84
569,Nar'yan-Mar,82,RU,1578787651,94,67.67,53.09,265.06,5.05
570,Okato,1,NZ,1578787651,70,-39.2,173.88,293.71,2.68
571,Goderich,100,CA,1578787651,95,43.75,-81.72,275.37,3.13
572,Kampot,40,KH,1578787651,94,10.62,104.18,298.15,1.0
573,Indiana,90,US,1578787652,100,40.0,-86.25,280.37,1.5
574,Kalangala,75,UG,1578787652,94,-0.31,32.23,295.15,5.02
